Quantas guerras ninjas houveram,4
Qual o Donjutsu kekkei genkai do cla hyuga,Byakugan
Quem selou a kurama dentro do Naruto,Minato
Qual o cla do Shikamaru,Nara
Quem é o maior rival do kakashi,Gai
Kurenai Sensei é alider de qual time,time8
Qual o nome do segundo hakage,Tobirama 
Qual o nome da biju do Gaara,Shukaku
Qual o cla do Sasuke,Uchiha 
Com quem o Shikamaru se casa,Temari
Qual o nome do cachorro do kiba,Akamaru
Quem eh o irmão mais velho do Gaara,Kankuro
Qual o cla do Nenji,Hyuga
Qual o cla do Asuma,Sarutobi
Qual o Donjutsu kekkei genkai do cla Uchiha,Sharingan
Quem eh a mae do Naruto,Kushina
Qual o cla da Karinn,uzumaki
Qual o cla do Kinimaro,kaguya
Quem é o parceiro do Zabuza,Haku
Quem é o fundador da Vila oculta do Som,Orochimaru








